event_name,team_name,start_date,end_date,start_time,end_time,description,location,access_groups,rsvp,comments,attendance_tracking,duty_roster,ticketing,reference_id
U12G Super Squirrels v Falcons 🔵,Under 12 Girls - Falcons,2026-04-25,2026-04-25,08:30,10:15,"Meet 8.30
KO 9am
Shakerag Park Turf Field
(Not Georgia Express Soccer Complex)",10945 Rogers Cir,Under 12 Girls - Falcons,true,false,false,true,false,30663414
U8B Bhatia v Falcons,Under 8 Boys - Falcons,2026-04-25,2026-04-25,08:30,10:00,"Meet 8.30am
Kick Off 9am
Valor Academy
Field D",4755 Kimball Bridge Rd,Under 8 Boys - Falcons,true,false,false,true,false,30727899
U12B Hawks v Durkin,Under 12 Boys - Hawks,2026-04-25,2026-04-25,09:00,10:45,"Meet 9am
KO 9.30am
Field 3",Jones Bridge Park,Under 12 Boys - Hawks,true,false,false,true,false,30664481
Mini Matches,Under 6 Boys,2026-04-25,2026-04-25,09:00,10:00,Field 2A/B,Jones Bridge Park,Under 6 Boys,true,false,false,true,false,30316265
Mini Matches,Under 6 Girls,2026-04-25,2026-04-25,09:00,10:00,Field 2C/D,Jones Bridge Park,Under 6 Girls,true,false,false,true,false,30316177
U10G Falcons v Billani,Under 10 Girls - Falcons,2026-04-25,2026-04-25,09:45,11:30,"Meet 9.45am
KO 10.15am
West Gwinnett
Field 2",West Gwinnett Park Aquatic Center,Under 10 Girls - Falcons,true,false,false,true,false,30727177
U8G Eagles v O’Connor,Under 8 Girls - Eagles,2026-04-25,2026-04-25,10:15,11:45,"Meet 10.15am
KO 10.45am
Field 2B",Jones Bridge Park,Under 8 Girls - Eagles,true,false,false,true,false,30728203
U8G Hawks v Shroyer,Under 8 Girls - Hawks,2026-04-25,2026-04-25,10:15,11:45,"Meet 10.15am
KO 10.45am
Field 2D",Jones Bridge Park,Under 8 Girls - Hawks,true,false,false,true,false,30728161
U12B Falcons v Hurricanes,Under 12 Boys - Falcons,2026-04-25,2026-04-25,10:45,12:30,"Meet 10.45am
KO 11.15am
Field 3",Jones Bridge Park,Under 12 Boys - Falcons,true,false,false,true,false,30664579
U10G Neal v Hawks,Under 10 Girls - Hawks,2026-04-25,2026-04-25,11:00,12:45,"Meet 11am
Kick Off 11.30am
Webb Bridge Park
Upper Field 2B",4780 Webb Bridge Rd,Under 10 Girls - Hawks,true,false,false,true,false,30727184
